"coverage","concat.pos","chr","chr.pos","Id"
2852,1,"PB2",1,"4_5_1"
3377,2,"PB2",2,"4_5_1"
3241,3,"PB2",3,"4_5_1"
3383,4,"PB2",4,"4_5_1"
3381,5,"PB2",5,"4_5_1"
3853,6,"PB2",6,"4_5_1"
3901,7,"PB2",7,"4_5_1"
3901,8,"PB2",8,"4_5_1"
3938,9,"PB2",9,"4_5_1"
4000,10,"PB2",10,"4_5_1"
3980,11,"PB2",11,"4_5_1"
3993,12,"PB2",12,"4_5_1"
3958,13,"PB2",13,"4_5_1"
3914,14,"PB2",14,"4_5_1"
4054,15,"PB2",15,"4_5_1"
4070,16,"PB2",16,"4_5_1"
4098,17,"PB2",17,"4_5_1"
4076,18,"PB2",18,"4_5_1"
4124,19,"PB2",19,"4_5_1"
4170,20,"PB2",20,"4_5_1"
4091,21,"PB2",21,"4_5_1"
4092,22,"PB2",22,"4_5_1"
4026,23,"PB2",23,"4_5_1"
4008,24,"PB2",24,"4_5_1"
4116,25,"PB2",25,"4_5_1"
4115,26,"PB2",26,"4_5_1"
4055,27,"PB2",27,"4_5_1"
4145,28,"PB2",28,"4_5_1"
4057,29,"PB2",29,"4_5_1"
4147,30,"PB2",30,"4_5_1"
4184,31,"PB2",31,"4_5_1"
4174,32,"PB2",32,"4_5_1"
4252,33,"PB2",33,"4_5_1"
4295,34,"PB2",34,"4_5_1"
4300,35,"PB2",35,"4_5_1"
4285,36,"PB2",36,"4_5_1"
4366,37,"PB2",37,"4_5_1"
4321,38,"PB2",38,"4_5_1"
4419,39,"PB2",39,"4_5_1"
4425,40,"PB2",40,"4_5_1"
4468,41,"PB2",41,"4_5_1"
4510,42,"PB2",42,"4_5_1"
4481,43,"PB2",43,"4_5_1"
4371,44,"PB2",44,"4_5_1"
4518,45,"PB2",45,"4_5_1"
4545,46,"PB2",46,"4_5_1"
4413,47,"PB2",47,"4_5_1"
4606,48,"PB2",48,"4_5_1"
4699,49,"PB2",49,"4_5_1"
4696,50,"PB2",50,"4_5_1"
4696,51,"PB2",51,"4_5_1"
4696,52,"PB2",52,"4_5_1"
4729,53,"PB2",53,"4_5_1"
4694,54,"PB2",54,"4_5_1"
4800,55,"PB2",55,"4_5_1"
4866,56,"PB2",56,"4_5_1"
4971,57,"PB2",57,"4_5_1"
4880,58,"PB2",58,"4_5_1"
4921,59,"PB2",59,"4_5_1"
5018,60,"PB2",60,"4_5_1"
4939,61,"PB2",61,"4_5_1"
5010,62,"PB2",62,"4_5_1"
5092,63,"PB2",63,"4_5_1"
5126,64,"PB2",64,"4_5_1"
5144,65,"PB2",65,"4_5_1"
5155,66,"PB2",66,"4_5_1"
5030,67,"PB2",67,"4_5_1"
5233,68,"PB2",68,"4_5_1"
5144,69,"PB2",69,"4_5_1"
5322,70,"PB2",70,"4_5_1"
5321,71,"PB2",71,"4_5_1"
5315,72,"PB2",72,"4_5_1"
5287,73,"PB2",73,"4_5_1"
5371,74,"PB2",74,"4_5_1"
5208,75,"PB2",75,"4_5_1"
5458,76,"PB2",76,"4_5_1"
5504,77,"PB2",77,"4_5_1"
5546,78,"PB2",78,"4_5_1"
5659,79,"PB2",79,"4_5_1"
5703,80,"PB2",80,"4_5_1"
5800,81,"PB2",81,"4_5_1"
5885,82,"PB2",82,"4_5_1"
5905,83,"PB2",83,"4_5_1"
6083,84,"PB2",84,"4_5_1"
6025,85,"PB2",85,"4_5_1"
5953,86,"PB2",86,"4_5_1"
6063,87,"PB2",87,"4_5_1"
6298,88,"PB2",88,"4_5_1"
6228,89,"PB2",89,"4_5_1"
6489,90,"PB2",90,"4_5_1"
6532,91,"PB2",91,"4_5_1"
6544,92,"PB2",92,"4_5_1"
6578,93,"PB2",93,"4_5_1"
6590,94,"PB2",94,"4_5_1"
6626,95,"PB2",95,"4_5_1"
6569,96,"PB2",96,"4_5_1"
7031,97,"PB2",97,"4_5_1"
6941,98,"PB2",98,"4_5_1"
6873,99,"PB2",99,"4_5_1"
7050,100,"PB2",100,"4_5_1"
7086,101,"PB2",101,"4_5_1"
7179,102,"PB2",102,"4_5_1"
7158,103,"PB2",103,"4_5_1"
7422,104,"PB2",104,"4_5_1"
7477,105,"PB2",105,"4_5_1"
7595,106,"PB2",106,"4_5_1"
7797,107,"PB2",107,"4_5_1"
7697,108,"PB2",108,"4_5_1"
7840,109,"PB2",109,"4_5_1"
7868,110,"PB2",110,"4_5_1"
7858,111,"PB2",111,"4_5_1"
7845,112,"PB2",112,"4_5_1"
7781,113,"PB2",113,"4_5_1"
7924,114,"PB2",114,"4_5_1"
8243,115,"PB2",115,"4_5_1"
8158,116,"PB2",116,"4_5_1"
8347,117,"PB2",117,"4_5_1"
8375,118,"PB2",118,"4_5_1"
8138,119,"PB2",119,"4_5_1"
7911,120,"PB2",120,"4_5_1"
5707,121,"PB2",121,"4_5_1"
5744,122,"PB2",122,"4_5_1"
5765,123,"PB2",123,"4_5_1"
5716,124,"PB2",124,"4_5_1"
5861,125,"PB2",125,"4_5_1"
5907,126,"PB2",126,"4_5_1"
5914,127,"PB2",127,"4_5_1"
6207,128,"PB2",128,"4_5_1"
6114,129,"PB2",129,"4_5_1"
6325,130,"PB2",130,"4_5_1"
6307,131,"PB2",131,"4_5_1"
6515,132,"PB2",132,"4_5_1"
6253,133,"PB2",133,"4_5_1"
6474,134,"PB2",134,"4_5_1"
6798,135,"PB2",135,"4_5_1"
6776,136,"PB2",136,"4_5_1"
6883,137,"PB2",137,"4_5_1"
7008,138,"PB2",138,"4_5_1"
7217,139,"PB2",139,"4_5_1"
7263,140,"PB2",140,"4_5_1"
7421,141,"PB2",141,"4_5_1"
7480,142,"PB2",142,"4_5_1"
7763,143,"PB2",143,"4_5_1"
7777,144,"PB2",144,"4_5_1"
7842,145,"PB2",145,"4_5_1"
7915,146,"PB2",146,"4_5_1"
7976,147,"PB2",147,"4_5_1"
8227,148,"PB2",148,"4_5_1"
8528,149,"PB2",149,"4_5_1"
8459,150,"PB2",150,"4_5_1"
8744,151,"PB2",151,"4_5_1"
8905,152,"PB2",152,"4_5_1"
8735,153,"PB2",153,"4_5_1"
8830,154,"PB2",154,"4_5_1"
8897,155,"PB2",155,"4_5_1"
9254,156,"PB2",156,"4_5_1"
9339,157,"PB2",157,"4_5_1"
9408,158,"PB2",158,"4_5_1"
